coefficient,median_ppl,mean_length_ratio,is_valid
-35,33.008453369140625,0.37918085394427203,False
-30,16.581199645996094,0.31016663491608687,False
-25,143.66551208496094,1.1205198959899763,False
-20,4.435147762298584,1.687278665038472,False
-15,4.579444408416748,1.5916311129012928,False
-10,6.116899490356445,1.0971902338171542,True
-5,5.118865966796875,1.228960729970619,True
0,5.919314861297607,1,True
5,5.856675148010254,1.4478935570426936,True
10,4.310267925262451,1.2191428818704226,True
15,4.800028324127197,1.1341244300670728,True
20,4.486982345581055,1.5865678265617738,False
25,7.614145755767822,1.228546538616336,True
30,13.177290916442871,1.5961371554880928,False
35,21.86301040649414,2.003334516976102,False
